,date,open,high,low,close,volume,tic,day
933,2008-09-17,20.149999618530273,20.270000457763672,18.489999771118164,11.721840858459473,11221000,M,2
934,2008-09-18,18.84000015258789,19.989999771118164,17.989999771118164,12.581229209899902,12793100,M,3
935,2008-09-19,21.09000015258789,22.739999771118164,19.299999237060547,12.612824440002441,9929100,M,4
936,2008-09-22,19.690000534057617,19.81999969482422,18.329999923706055,11.639695167541504,6986800,M,0
937,2008-09-23,18.440000534057617,18.889999389648438,17.68000030517578,11.216315269470215,8052800,M,1
938,2008-09-24,17.799999237060547,18.290000915527344,17.56999969482422,11.228954315185547,7307400,M,2
939,2008-09-25,18.030000686645508,19.290000915527344,17.770000457763672,11.94300651550293,10160300,M,3
940,2008-09-26,18.3700008392334,19.440000534057617,17.899999618530273,12.258962631225586,7265600,M,4
941,2008-09-29,19.149999618530273,19.149999618530273,16.719999313354492,10.919322967529297,11212800,M,0
942,2008-09-30,17.540000915527344,18.0,17.170000076293945,11.361652374267578,11167300,M,1
943,2008-10-01,17.229999542236328,17.81999969482422,17.059999465942383,10.938278198242188,9767000,M,2
944,2008-10-02,17.1200008392334,17.350000381469727,16.030000686645508,10.243181228637695,9597800,M,3
945,2008-10-03,16.530000686645508,16.719999313354492,15.010000228881836,9.598636627197266,11176700,M,4
946,2008-10-06,14.710000038146973,15.149999618530273,13.859999656677246,9.465937614440918,15507700,M,0
947,2008-10-07,15.300000190734863,15.5600004196167,13.699999809265137,8.657098770141602,12922900,M,1
948,2008-10-08,13.020000457763672,14.0,12.6899995803833,8.442254066467285,15393900,M,2
949,2008-10-09,13.680000305175781,13.680000305175781,11.279999732971191,7.24163293838501,12280800,M,3
950,2008-10-10,10.020000457763672,11.460000038146973,9.229999542236328,6.268499374389648,34367800,M,4
951,2008-10-13,11.100000381469727,11.199999809265137,10.020000457763672,6.976235389709473,15311600,M,0
952,2008-10-14,11.779999732971191,11.970000267028809,9.979999542236328,6.63500452041626,17841000,M,1
953,2008-10-15,10.300000190734863,10.449999809265137,8.59000015258789,5.472300052642822,18003600,M,2
954,2008-10-16,9.010000228881836,10.050000190734863,7.650000095367432,6.350646018981934,26119700,M,3
955,2008-10-17,10.300000190734863,10.350000381469727,9.779999732971191,6.2179460525512695,14357200,M,4
956,2008-10-20,9.90999984741211,10.789999961853027,9.899999618530273,6.786658763885498,11624500,M,0
957,2008-10-21,10.510000228881836,10.779999732971191,10.119999885559082,6.439113140106201,9525800,M,1
958,2008-10-22,9.850000381469727,9.970000267028809,8.649999618530273,5.769293785095215,11142700,M,2
959,2008-10-23,9.199999809265137,9.680000305175781,8.609999656677246,6.072609901428223,16379000,M,3
960,2008-10-24,8.90999984741211,9.520000457763672,8.6899995803833,5.680826187133789,10464600,M,4
961,2008-10-27,8.760000228881836,9.579999923706055,8.720000267028809,5.636593341827393,8344300,M,0
962,2008-10-28,9.3100004196167,10.34000015258789,8.869999885559082,6.533899784088135,12401800,M,1
963,2008-10-29,10.1899995803833,11.989999771118164,9.75,6.969913959503174,17496400,M,2
964,2008-10-30,11.5600004196167,12.0,11.069999694824219,7.36801290512085,15663000,M,3
965,2008-10-31,11.729999542236328,12.579999923706055,11.350000381469727,7.766115665435791,15506200,M,4
966,2008-11-03,12.100000381469727,12.470000267028809,11.369999885559082,7.3616943359375,6691500,M,0
967,2008-11-04,11.970000267028809,12.140000343322754,11.40999984741211,7.405927658081055,8660400,M,1
968,2008-11-05,11.600000381469727,11.930000305175781,10.649999618530273,6.856170654296875,10698100,M,2
969,2008-11-06,11.170000076293945,11.970000267028809,10.170000076293945,6.597089767456055,14595100,M,3
970,2008-11-07,10.65999984741211,11.15999984741211,10.130000114440918,6.925681114196777,8480400,M,4
971,2008-11-10,11.0600004196167,11.170000076293945,9.8100004196167,6.281135559082031,6246700,M,0
972,2008-11-11,9.630000114440918,9.770000457763672,8.819999694824219,5.946228981018066,12409200,M,1
973,2008-11-12,9.6899995803833,9.930000305175781,8.359999656677246,5.2890448570251465,14618000,M,2
974,2008-11-13,8.390000343322754,8.5,6.920000076293945,5.295363426208496,20509500,M,3
975,2008-11-14,8.1899995803833,8.670000076293945,7.420000076293945,4.751924991607666,17021000,M,4
976,2008-11-17,7.420000076293945,7.710000038146973,7.0,4.429656028747559,10638900,M,0
977,2008-11-18,7.059999942779541,7.349999904632568,6.039999961853027,3.848301887512207,21390800,M,1
978,2008-11-19,6.28000020980835,6.429999828338623,5.199999809265137,3.5892202854156494,32451600,M,2
979,2008-11-20,5.699999809265137,6.260000228881836,5.070000171661377,3.6966452598571777,25495800,M,3
980,2008-11-21,6.059999942779541,6.289999961853027,5.119999885559082,3.620816469192505,18156500,M,4
981,2008-11-24,5.940000057220459,6.820000171661377,5.599999904632568,4.208488941192627,15312700,M,0
982,2008-11-25,6.949999809265137,7.179999828338623,6.010000228881836,4.082107067108154,18082000,M,1
983,2008-11-26,6.28000020980835,7.199999809265137,6.079999923706055,4.4422926902771,14187800,M,2
984,2008-11-28,7.329999923706055,7.5,6.699999809265137,4.688736438751221,6678400,M,4
985,2008-12-01,7.199999809265137,7.300000190734863,6.349999904632568,4.050511360168457,12754500,M,0
986,2008-12-02,6.539999961853027,7.019999980926514,6.300000190734863,4.423335552215576,11106800,M,1
987,2008-12-03,6.599999904632568,7.440000057220459,6.400000095367432,4.669777870178223,21078900,M,2
988,2008-12-04,7.179999828338623,8.819999694824219,7.099999904632568,4.947816848754883,25004900,M,3
989,2008-12-05,7.460000038146973,8.670000076293945,7.349999904632568,5.440703392028809,14209900,M,4
990,2008-12-08,8.9399995803833,9.119999885559082,8.350000381469727,5.573403358459473,14796600,M,0
991,2008-12-09,8.5,9.59000015258789,8.180000305175781,5.409108638763428,12752000,M,1
992,2008-12-10,8.84000015258789,9.380000114440918,8.539999961853027,5.586042404174805,17194700,M,2
993,2008-12-11,8.720000267028809,9.069999694824219,8.0,5.241525173187256,11827700,M,3
994,2008-12-12,8.0,8.520000457763672,7.699999809265137,5.453239440917969,9676000,M,4
995,2008-12-15,8.520000457763672,8.6899995803833,7.980000019073486,5.22869348526001,12264100,M,0
996,2008-12-16,8.319999694824219,8.569999694824219,8.170000076293945,5.433990955352783,11597600,M,1
997,2008-12-17,8.289999961853027,10.369999885559082,8.210000038146973,6.421989440917969,25681700,M,2
998,2008-12-18,10.050000190734863,10.609999656677246,9.989999771118164,6.685028076171875,21692600,M,3
999,2008-12-19,10.550000190734863,10.75,10.149999618530273,6.813340663909912,15245400,M,4
1000,2008-12-22,10.569999694824219,10.569999694824219,9.039999961853027,5.998563289642334,11786400,M,0
1001,2008-12-23,9.3100004196167,9.739999771118164,8.600000381469727,5.587965488433838,9437700,M,1
1002,2008-12-24,8.970000267028809,8.970000267028809,8.550000190734863,5.6585373878479,2752400,M,2
1003,2008-12-26,8.920000076293945,9.100000381469727,8.399999618530273,5.517395496368408,2729600,M,4
