,Unnamed: 0,date,open,high,low,close,volume,tic,day
1650,1650,2017-07-25,140.12428283691406,141.0038299560547,139.6080322265625,106.43931579589844,4402509,IBM,1
1651,1651,2017-07-26,139.8374786376953,140.0191192626953,138.11663818359375,105.8350067138672,4113290,IBM,2
1652,1652,2017-07-27,138.62332153320312,139.0057373046875,137.32313537597656,105.62384033203124,6726617,IBM,3
1653,1653,2017-07-28,138.44168090820312,138.6615753173828,137.51434326171875,105.05593872070312,3195321,IBM,4
1654,1654,2017-07-31,138.0305938720703,138.55641174316406,137.829833984375,105.3326416015625,4556062,IBM,0
1655,1655,2017-08-01,138.62332153320312,139.26385498046875,138.3556365966797,105.79133605957033,3367597,IBM,1
1656,1656,2017-08-02,138.73805236816406,138.90057373046875,137.87762451171875,105.17245483398438,3703781,IBM,2
1657,1657,2017-08-03,138.07839965820312,138.94837951660156,138.07839965820312,105.52920532226562,3175028,IBM,3
1658,1658,2017-08-04,138.62332153320312,138.9961700439453,138.04971313476562,105.68939208984376,2666672,IBM,4
1659,1659,2017-08-07,138.62332153320312,138.70936584472656,136.47227478027344,104.45890045166016,4830742,IBM,0
1660,1660,2017-08-08,135.75526428222656,136.48184204101562,135.75526428222656,104.56193542480467,3450440,IBM,1
1661,1661,2017-08-09,135.51625061035156,135.783935546875,134.9808807373047,104.31173706054688,3060387,IBM,2
1662,1662,2017-08-10,135.4110870361328,136.1567840576172,135.0191192626953,104.3632583618164,4733568,IBM,3
1663,1663,2017-08-11,136.1854705810547,136.31930541992188,135.29637145996094,104.3632583618164,3142184,IBM,4
1664,1664,2017-08-14,135.75526428222656,136.48184204101562,135.69789123535156,104.71643829345705,2352036,IBM,0
1665,1665,2017-08-15,136.28106689453125,137.0363311767578,134.397705078125,104.5324935913086,4896849,IBM,1
1666,1666,2017-08-16,135.5544891357422,136.625244140625,135.38241577148438,104.848876953125,3439039,IBM,2
1667,1667,2017-08-17,136.2523956298828,136.6061248779297,134.51242065429688,103.52445220947266,4625517,IBM,3
1668,1668,2017-08-18,134.67495727539062,134.94264221191406,133.44168090820312,102.78870391845705,4343724,IBM,4
1669,1669,2017-08-21,133.4512481689453,134.24473571777344,133.011474609375,103.25222778320312,3337472,IBM,0
1670,1670,2017-08-22,134.45506286621094,134.94264221191406,134.2064971923828,103.7525634765625,2661442,IBM,1
1671,1671,2017-08-23,134.51242065429688,136.7590789794922,134.49330139160156,104.58399963378906,4234522,IBM,2
1672,1672,2017-08-24,136.2332763671875,137.3613739013672,135.9942626953125,105.17259979248048,3757441,IBM,3
1673,1673,2017-08-25,136.9980926513672,137.8489532470703,136.95028686523438,105.7612533569336,3005053,IBM,4
1674,1674,2017-08-28,137.7724609375,138.2026824951172,136.12811279296875,104.85623168945312,5319956,IBM,0
1675,1675,2017-08-29,135.85086059570312,137.12237548828125,135.65965270996094,105.3197784423828,3147937,IBM,1
1676,1676,2017-08-30,136.95985412597656,136.97897338867188,136.14723205566406,104.89302825927734,2861856,IBM,2
1677,1677,2017-08-31,136.73040771484375,137.34225463867188,136.35755920410156,105.23883056640624,3824594,IBM,3
1678,1678,2017-09-01,136.69215393066406,138.1453094482422,136.69215393066406,106.0114288330078,3505878,IBM,4
1679,1679,2017-09-05,137.18930053710938,138.011474609375,136.42446899414062,105.24620819091795,3239985,IBM,1
1680,1680,2017-09-06,137.55258178710938,138.11663818359375,137.18930053710938,105.82014465332033,3423872,IBM,2
1681,1681,2017-09-07,137.76290893554688,138.27915954589844,136.14723205566406,105.14317321777344,4380857,IBM,3
1682,1682,2017-09-08,136.8546905517578,136.8546905517578,135.4110870361328,104.81208801269533,3521045,IBM,4
1683,1683,2017-09-11,137.2275390625,138.7476043701172,136.72084045410156,106.5853271484375,4825616,IBM,0
1684,1684,2017-09-12,138.72848510742188,139.93307495117188,138.15487670898438,107.24752044677734,5479053,IBM,1
1685,1685,2017-09-13,138.9579315185547,139.85659790039062,138.94837951660156,107.416748046875,4289646,IBM,2
1686,1686,2017-09-14,139.4455108642578,139.94264221191406,139.11090087890625,107.08563995361328,3929717,IBM,3
1687,1687,2017-09-15,138.4512481689453,138.78585815429688,137.74378967285156,106.55587768554688,7737471,IBM,4
1688,1688,2017-09-18,138.44168090820312,139.08221435546875,137.92543029785156,106.35723114013672,3158397,IBM,0
1689,1689,2017-09-19,138.4225616455078,138.6042022705078,137.87762451171875,106.239501953125,3623762,IBM,1
1690,1690,2017-09-20,138.55641174316406,139.46463012695312,138.06883239746094,107.3358154296875,5698085,IBM,2
1691,1691,2017-09-21,139.24473571777344,139.47418212890625,138.71893310546875,106.87962341308594,2673158,IBM,3
1692,1692,2017-09-22,139.1873779296875,139.1873779296875,138.23135375976562,106.78398895263672,2920746,IBM,4
1693,1693,2017-09-25,138.73805236816406,139.6080322265625,138.53729248046875,107.32844543457033,5452903,IBM,0
1694,1694,2017-09-26,139.92352294921875,140.93690490722656,139.52198791503906,107.8361358642578,4695076,IBM,1
1695,1695,2017-09-27,140.2294464111328,140.4397735595703,138.65200805664062,107.17394256591795,3663824,IBM,2
1696,1696,2017-09-28,139.25430297851562,139.4455108642578,137.86807250976562,107.17394256591795,2902441,IBM,3
1697,1697,2017-09-29,139.0535430908203,139.28298950195312,138.54684448242188,106.74717712402344,2776816,IBM,4
1698,1698,2017-10-02,138.9579315185547,140.4110870361328,138.8240966796875,107.90972900390624,3109967,IBM,0
1699,1699,2017-10-03,140.23899841308594,140.72657775878906,139.90440368652344,107.9980239868164,2408624,IBM,1
1700,1700,2017-10-04,140.53536987304688,140.5544891357422,139.68450927734375,107.77726745605467,2347642,IBM,2
1701,1701,2017-10-05,140.2294464111328,141.05162048339844,140.03823852539062,107.9539031982422,2810079,IBM,3
1702,1702,2017-10-06,140.1912078857422,140.3919677734375,139.88528442382812,107.77726745605467,2743867,IBM,4
1703,1703,2017-10-09,140.05735778808594,141.29063415527344,139.91395568847656,108.44685363769533,2806000,IBM,0
1704,1704,2017-10-10,141.21414184570312,142.3996124267578,141.1567840576172,109.26356506347656,4218100,IBM,1
1705,1705,2017-10-11,141.87380981445312,141.9407196044922,140.8030548095703,108.61607360839844,3872501,IBM,2
1706,1706,2017-10-12,141.07073974609375,141.38623046875,140.31549072265625,108.18195343017578,3414458,IBM,3
1707,1707,2017-10-13,140.9942626953125,141.34799194335938,140.47801208496094,108.23345947265624,2621904,IBM,4
1708,1708,2017-10-16,140.74569702148438,141.1759033203125,140.06692504882812,108.0348129272461,3192497,IBM,0
1709,1709,2017-10-17,140.181640625,140.6501007080078,139.75143432617188,107.82141876220705,6665530,IBM,1
1710,1710,2017-10-18,150.2103271484375,154.1395721435547,150.0478057861328,117.3792724609375,31892749,IBM,2
1711,1711,2017-10-19,152.7724609375,153.88145446777344,152.09368896484375,118.3872528076172,10370253,IBM,3
1712,1712,2017-10-20,153.9866180419922,155.33460998535156,152.74378967285156,119.24812316894533,8230765,IBM,4
1713,1713,2017-10-23,154.92352294921875,155.36329650878906,152.52389526367188,117.39397430419922,6045252,IBM,0
1714,1714,2017-10-24,152.62905883789062,152.67686462402344,148.34608459472656,114.69361114501952,8571656,IBM,1
1715,1715,2017-10-25,149.14913940429688,149.49330139160156,146.32887268066406,112.94248962402344,7239471,IBM,2
1716,1716,2017-10-26,147.52389526367188,148.29827880859375,146.7877655029297,113.01609802246094,4498323,IBM,3
1717,1717,2017-10-27,147.74378967285156,147.829833984375,146.1854705810547,113.07492065429688,5120379,IBM,4
1718,1718,2017-10-30,146.9980926513672,147.7915802001953,145.9942626953125,113.57523345947266,4404078,IBM,0
1719,1719,2017-10-31,147.5430145263672,148.11663818359375,146.20458984375,113.35452270507812,4527402,IBM,1
1720,1720,2017-11-01,147.32313537597656,148.08795166015625,147.06500244140625,113.33242797851562,3389249,IBM,2
1721,1721,2017-11-02,147.3996124267578,147.69598388671875,146.1854705810547,112.83210754394533,3553890,IBM,3
1722,1722,2017-11-03,146.67303466796875,146.72084045410156,144.82791137695312,111.52975463867188,4635663,IBM,4
1723,1723,2017-11-06,145.09559631347656,145.14340209960938,143.67112731933594,110.9853057861328,4705326,IBM,0
1724,1724,2017-11-07,144.71319580078125,144.84703063964844,143.88145446777344,111.3605499267578,3871351,IBM,1
1725,1725,2017-11-08,144.93307495117188,145.11471557617188,143.67112731933594,111.52242279052734,4847582,IBM,2
1726,1726,2017-11-09,143.33651733398438,145.12428283691406,143.26959228515625,111.69332122802734,4996219,IBM,3
1727,1727,2017-11-10,144.0248565673828,144.25430297851562,142.58126831054688,110.84616088867188,4505436,IBM,4
1728,1728,2017-11-13,142.33270263671875,142.44741821289062,141.4149169921875,110.28137969970705,5342445,IBM,0
1729,1729,2017-11-14,141.44358825683594,142.41873168945312,141.0038299560547,110.64552307128906,3930868,IBM,1
1730,1730,2017-11-15,141.49139404296875,142.170166015625,139.78012084960938,109.3152847290039,4992872,IBM,2
1731,1731,2017-11-16,141.2332763671875,143.06883239746094,141.0133819580078,110.81640625,5697039,IBM,3
1732,1732,2017-11-17,142.7724609375,143.54684448242188,142.28489685058594,110.70496368408205,5142659,IBM,4
1733,1733,2017-11-20,144.01528930664062,145.26768493652344,143.30784606933594,111.8493881225586,5937619,IBM,0
1734,1734,2017-11-21,144.64627075195312,145.74569702148438,144.55067443847656,112.91950988769533,3928985,IBM,1
1735,1735,2017-11-22,145.31549072265625,145.68833923339844,144.67495727539062,112.78573608398438,3361426,IBM,2
1736,1736,2017-11-24,145.26768493652344,145.50669860839844,144.67495727539062,112.83775329589844,1247878,IBM,4
1737,1737,2017-11-27,145.3728485107422,145.783935546875,144.9521942138672,112.94180297851562,3529204,IBM,0
1738,1738,2017-11-28,145.6501007080078,146.20458984375,145.0286865234375,113.3059310913086,4156490,IBM,1
1739,1739,2017-11-29,146.08985900878906,146.8546905517578,145.47801208496094,114.1085433959961,5333240,IBM,2
